zipcode,order,sorder,trend,AIC,BIC,CVRMSE
20002,"(2, 1, 0)","(2, 0, 0, 12)",,2902.7,2918.8,58470.6
20002,"(2, 1, 0)","(2, 0, 1, 12)",,2914.1,2933.4,60274.7
20002,"(2, 1, 0)","(2, 0, 2, 12)",,2905.7,2928.2,25060660.9
20002,"(2, 1, 0)","(2, 1, 0, 12)",,2786.4,2802.2,60574.0
20002,"(2, 1, 0)","(2, 1, 1, 12)",,2775.8,2794.7,56992.8
20002,"(2, 1, 0)","(2, 1, 2, 12)",,2776.8,2798.9,25116301.8
20002,"(2, 1, 1)","(0, 0, 0, 12)",,3252.4,3265.7,58121.2
20002,"(2, 1, 1)","(0, 0, 1, 12)",,3091.3,3107.7,54658.4
20002,"(2, 1, 1)","(0, 0, 2, 12)",,2903.4,2922.7,25035002.4
20002,"(2, 1, 1)","(0, 1, 0, 12)",,3241.3,3254.4,64609.5
20002,"(2, 1, 1)","(0, 1, 1, 12)",,2979.9,2996.0,65876.2
20002,"(2, 1, 1)","(0, 1, 2, 12)",,2748.8,2767.7,6721376780.1
20002,"(2, 1, 1)","(1, 0, 0, 12)",,3071.3,3087.7,54831.1
20002,"(2, 1, 1)","(1, 0, 1, 12)",,3065.2,3084.9,63162.1
20002,"(2, 1, 1)","(1, 0, 2, 12)",,2881.9,2904.4,25051584.4
20002,"(2, 1, 1)","(1, 1, 0, 12)",,3018.5,3034.6,57540.3
20002,"(2, 1, 1)","(1, 1, 1, 12)",,2965.3,2984.6,65206.6
20002,"(2, 1, 1)","(1, 1, 2, 12)",,2748.2,2770.2,25060645.9
20002,"(2, 1, 1)","(2, 0, 0, 12)",,2868.2,2887.5,51033.5
20002,"(2, 1, 1)","(2, 0, 1, 12)",,2870.4,2893.0,56972.6
20002,"(2, 1, 1)","(2, 0, 2, 12)",,2870.6,2896.3,25060905.2
20002,"(2, 1, 1)","(2, 1, 0, 12)",,2816.5,2835.4,56878.2
20002,"(2, 1, 1)","(2, 1, 1, 12)",,2792.0,2814.1,56149.3
20002,"(2, 1, 1)","(2, 1, 2, 12)",,2768.2,2793.4,25120767.1
20002,"(2, 1, 2)","(0, 0, 0, 12)",,3237.5,3254.2,63372.2
20002,"(2, 1, 2)","(0, 0, 1, 12)",,3067.3,3086.9,51331.7
20002,"(2, 1, 2)","(0, 0, 2, 12)",,2915.7,2938.2,25034039.0
20002,"(2, 1, 2)","(0, 1, 0, 12)",,3194.3,3210.7,68008.2
20002,"(2, 1, 2)","(0, 1, 1, 12)",,2964.0,2983.3,56611.0
20002,"(2, 1, 2)","(0, 1, 2, 12)",,2737.3,2759.3,5.840582392232486e+123
20002,"(2, 1, 2)","(1, 0, 0, 12)",,3071.3,3091.0,58816.6
20002,"(2, 1, 2)","(1, 0, 1, 12)",,3044.7,3067.6,64271.6
20002,"(2, 1, 2)","(1, 0, 2, 12)",,2861.1,2886.8,25057288.1
20002,"(2, 1, 2)","(1, 1, 0, 12)",,3009.5,3028.9,64857.6
